Country,Time,Value
Spain,2000,7.800173539
Spain,2001,7.689588343
Spain,2002,7.615837313
Spain,2003,7.541629057
Spain,2004,7.736228284
Spain,2005,8.089286287
Spain,2006,8.243288478
Spain,2007,8.474816809
Spain,2008,8.561952256
Spain,2009,8.933786336
Spain,2010,8.901458647
Spain,2011,8.730114236
Spain,2012,8.521663455
Spain,2013,8.453515115
Spain,2014,8.466308965
Spain,2015,8.559432334
Spain,2016,8.661226186
Spain,2017,9.173998527
Spain,2018,9.381175988
Spain,2019,11.3862329
Spain,2020,12.07214115
Spain,2021,11.75715447
Spain,2022,11.35525391
France,2000,11.26024034
France,2001,11.48295584
France,2002,11.62801984
France,2003,11.82771268
France,2004,12.22389833
France,2005,12.69603104
France,2006,13.01379971
France,2007,13.15340224
France,2008,13.17611956
France,2009,13.40922273
France,2010,13.31242235
France,2011,13.3025925
France,2012,13.46710759
France,2013,13.5238822
France,2014,13.59824928
France,2015,13.70725818
France,2016,13.76759859
France,2017,13.75375783
France,2018,13.66985762
France,2019,13.7252848
France,2020,13.82362616
France,2021,13.81
France,2022,13.82
Japan,2000,6.174587962
Japan,2001,6.272503327
Japan,2002,6.37486876
Japan,2003,6.423241631
Japan,2004,6.433992063
Japan,2005,6.484983771
Japan,2006,6.503963868
Japan,2007,6.569526127
Japan,2008,6.618886543
Japan,2009,6.851146612
Japan,2010,7.009295481
Japan,2011,7.171166406
Japan,2012,7.253934776
Japan,2013,7.35427849
Japan,2014,7.301796079
Japan,2015,7.399821332
Japan,2016,7.595780141
Japan,2017,7.793495788
Japan,2018,7.953485295
Japan,2019,8.158201264
Japan,2020,8.347163584
Japan,2021,8.441677265
Japan,2022,8.494396389
Poland,2000,3.52247623
Poland,2001,3.762555754
Poland,2002,3.692208513
Poland,2003,3.860181824
Poland,2004,3.845894231
Poland,2005,3.877892625
Poland,2006,4.054188741
Poland,2007,4.119752218
Poland,2008,4.757863046
Poland,2009,5.194528644
Poland,2010,5.226556077
Poland,2011,5.276684896
Poland,2012,5.514366023
Poland,2013,5.824215222
Poland,2014,6.112136351
Poland,2015,6.422953397
Poland,2016,6.835418937
Poland,2017,7.239357695
Poland,2018,7.465971139
Poland,2019,7.824955565
Poland,2020,8.747005812
Poland,2021,8.966588918
Poland,2022,8.423603384
New Zealand,2000,7.894435928
New Zealand,2001,7.919605576
New Zealand,2002,7.984636257
New Zealand,2003,8.291763614
New Zealand,2004,8.579533609
New Zealand,2005,8.804871332
New Zealand,2006,9.144137446
New Zealand,2007,9.747115973
New Zealand,2008,10.06633746
New Zealand,2009,10.33355847
New Zealand,2010,10.35396387
New Zealand,2011,10.14914498
New Zealand,2012,10.38418347
New Zealand,2013,10.50559631
New Zealand,2014,10.65869446
New Zealand,2015,11.05843529
New Zealand,2016,11.36294069
New Zealand,2017,11.52514506
New Zealand,2018,11.75026981
New Zealand,2019,12.42718092
New Zealand,2020,13.06030096
New Zealand,2021,13.32845872
New Zealand,2022,13.17397654
Korea,2000,2.973966575
Korea,2001,3.289464292
Korea,2002,3.555250124
Korea,2003,3.744879839
Korea,2004,4.025285035
Korea,2005,4.376432287
Korea,2006,4.533445541
Korea,2007,4.963358242
Korea,2008,5.136879017
Korea,2009,5.304063195
Korea,2010,5.294309993
Korea,2011,5.349454996
Korea,2012,5.55002984
Korea,2013,5.813676834
Korea,2014,6.153908806
Korea,2015,6.544715234
Korea,2016,7.004453573
Korea,2017,7.372217572
Korea,2018,8.455244821
Korea,2019,9.340228789
Korea,2020,9.557340011
Korea,2021,9.465499877
Korea,2022,9.461715398
Slovenia,2000,5.311397968
Slovenia,2001,5.563786702
Slovenia,2002,5.771830997
Slovenia,2003,5.961461016
Slovenia,2004,6.156990318
Slovenia,2005,6.306817423
Slovenia,2006,6.361077428
Slovenia,2007,6.290444712
Slovenia,2008,6.432962661
Slovenia,2009,6.617376567
Slovenia,2010,7.802723471
Slovenia,2011,8.035401162
Slovenia,2012,8.013127088
Slovenia,2013,8.086707465
Slovenia,2014,8.122421259
Slovenia,2015,8.18645455
Slovenia,2016,8.19095954
Slovenia,2017,8.220879091
Slovenia,2018,8.460139824
Slovenia,2019,8.75742507
Slovenia,2020,9.295399367
Slovenia,2021,9.931781065
Slovenia,2022,9.572825482
Chile,2000,2.094099086
Chile,2001,2.17279717
Chile,2002,2.235401598
Chile,2003,2.266186939
Chile,2004,2.329527543
Chile,2005,2.374217223
Chile,2006,2.435496666
Chile,2007,2.479302389
Chile,2008,2.476699899
Chile,2009,2.639035339
Chile,2010,2.706738314
Chile,2011,2.751351391
Chile,2012,2.829472234
Chile,2013,2.966273124
Chile,2014,3.061490547
Chile,2015,3.14419303
Chile,2016,3.317079838
Chile,2017,3.415731167
Chile,2018,3.496894644
Chile,2019,3.639028493
Chile,2020,3.772756838
Chile,2021,3.770555732
Chile,2022,3.703057241
Czech Republic,2000,2.854443084
Czech Republic,2001,3.452251792
Czech Republic,2002,3.828194709
Czech Republic,2003,4.162031039
Czech Republic,2004,4.346599075
Czech Republic,2005,4.579858173
Czech Republic,2006,4.876555946
Czech Republic,2007,4.914992031
Czech Republic,2008,4.62114872
Czech Republic,2009,4.574517128
Czech Republic,2010,4.508124745
Czech Republic,2011,4.423320008
Czech Republic,2012,4.282526673
Czech Republic,2013,4.309575952
Czech Republic,2014,4.426008096
Czech Republic,2015,4.796041114
Czech Republic,2016,5.083934971
Czech Republic,2017,5.57945263
Czech Republic,2018,6.05790581
Czech Republic,2019,6.517801463
Czech Republic,2020,6.809473996
Czech Republic,2021,6.798042423
Czech Republic,2022,6.291241815
Estonia,2000,1.864276492
Estonia,2001,2.008680746
Estonia,2002,2.259202634
Estonia,2003,2.626463337
Estonia,2004,2.884658808
Estonia,2005,3.018371075
Estonia,2006,3.235478665
Estonia,2007,3.666016295
Estonia,2008,4.171562205
Estonia,2009,4.174835623
Estonia,2010,4.054338844
Estonia,2011,3.71175418
