Country,"Density
(P/Km2)",Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital/Major City,Co2-Emissions,CPI,CPI Change (%),Currency-Code,Fertility Rate,Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population
Afghanistan,60,0.581,652230,323000,32.49,93,Kabul,8672,149.9,0.023,AFN,4.47,0.021,0.7,19101353833,1.04,0.097,47.9,Kabul,64.5,638,0.43,Pashto,0.784,0.28,38041754,0.489,0.093,0.714,0.1112,9797273
Albania,105,0.431,28748,9000,11.78,355,Tirana,4536,119.05,0.014,ALL,1.62,0.281,1.36,15278077447,1.07,0.55,7.8,Tirana,78.5,15,1.12,Albanian,0.569,1.2,2854191,0.557,0.186,0.366,0.1233,1747593
Algeria,18,0.174,2381741,317000,24.28,213,Algiers,150006,151.36,0.02,DZD,3.02,0.008,0.28,1.69988E+11,1.099,0.514,20.1,Algiers,76.7,112,0.95,Arabic,0.281,1.72,43053054,0.412,0.372,0.661,0.117,31510100
Andorra,164,0.4,468,,7.2,376,Andorra la Vella,469,,,EUR,1.27,0.34,1.51,3154057987,1.064,,2.7,Andorra la Vella,,,6.63,Catalan,0.364,3.33,77142,,,,,67873
Angola,26,0.475,1246700,117000,40.73,244,Luanda,34693,261.73,0.171,AOA,5.52,0.463,0.97,94635415870,1.135,0.093,51.6,Luanda,60.8,241,0.71,Portuguese,0.334,0.21,31825295,0.775,0.092,0.491,0.0689,21061025
Antigua and Barbuda,223,0.205,443,0,15.33,1,"St. John's, Saint John",557,113.81,0.012,XCD,1.99,0.223,0.99,1727759259,1.05,0.248,5,"St. John's, Saint John",76.9,42,3.04,English,0.243,2.76,97118,,0.165,0.43,,23800
Argentina,17,0.543,2780400,105000,17.02,54,Buenos Aires,201348,232.75,0.535,ARS,2.26,0.098,1.1,4.49663E+11,1.097,0.9,8.8,Buenos Aires,76.5,39,3.35,Spanish,0.176,3.96,44938712,0.613,0.101,1.063,0.0979,41339571
Armenia,104,0.589,29743,49000,13.99,374,Yerevan,5156,129.18,0.014,AMD,1.76,0.117,0.77,13672802158,0.927,0.546,11,Yerevan,74.9,26,0.66,Armenian,0.816,4.4,2957731,0.556,0.209,0.226,0.1699,1869848
Australia,3,0.482,7741220,58000,12.6,61,Canberra,375908,119.8,0.016,AUD,1.74,0.163,0.93,1.39268E+12,1.003,1.131,3.1,Sydney,82.7,6,13.59,None,0.196,3.68,25766605,0.655,0.23,0.474,0.0527,21844756
Austria,109,0.324,83871,21000,9.7,43,Vienna,61448,118.06,0.015,EUR,1.47,0.469,1.2,4.46315E+11,1.031,0.851,2.9,Vienna,81.6,5,,German,0.179,5.17,8877067,0.607,0.254,0.514,0.0467,5194416
Azerbaijan,123,0.577,86600,82000,14,994,Baku,37620,156.32,0.026,AZN,1.73,0.141,0.56,39207000000,0.997,0.277,19.2,Baku,72.9,26,0.47,Azerbaijani language,0.786,3.45,10023318,0.665,0.13,0.407,0.0551,5616165
The Bahamas,39,0.014,13880,1000,13.97,1,"Nassau, Bahamas",1786,116.22,0.025,,1.75,0.514,0.92,12827000000,0.814,0.151,8.3,"Nassau, Bahamas",73.8,70,5.25,English,0.278,1.94,389482,0.746,0.148,0.338,0.1036,323784
Bahrain,2239,0.111,765,19000,13.99,973,Manama,31694,117.59,0.021,BHD,1.99,0.008,0.43,38574069149,0.994,0.505,6.1,Riffa,77.2,14,,Arabic,0.251,0.93,1501635,0.734,0.042,0.138,0.0071,1467109
Bangladesh,1265,0.706,148460,221000,18.18,880,Dhaka,84246,179.68,0.056,BDT,2.04,0.11,1.12,3.02571E+11,1.165,0.206,25.1,Dhaka,72.3,173,0.51,Bengali,0.718,0.58,167310838,0.59,0.088,0.334,0.0419,60987417
Barbados,668,0.233,430,1000,10.65,1,Bridgetown,1276,134.09,0.041,BBD,1.62,0.147,1.81,5209000000,0.994,0.654,11.3,Bridgetown,79.1,27,3.13,English,0.452,2.48,287025,0.652,0.275,0.356,0.1033,89431
Belarus,47,0.42,207600,155000,9.9,375,Minsk,58280,,0.056,BYN,1.45,0.426,0.6,63080457023,1.005,0.874,2.6,Minsk,74.2,2,1.49,Russian,0.345,5.19,9466856,0.641,0.147,0.533,0.0459,7482982
Belgium,383,0.446,30528,32000,10.3,32,City of Brussels,96889,117.11,0.014,EUR,1.62,0.226,1.43,5.29607E+11,1.039,0.797,2.9,Brussels,81.6,5,10.31,French,0.176,3.07,11484055,0.536,0.24,0.554,0.0559,11259082
Belize,17,0.07,22966,2000,20.79,501,Belmopan,568,105.68,-0.009,BZD,2.31,0.597,1.13,1879613600,1.117,0.247,11.2,Belize City,74.5,36,1.65,English,0.227,1.12,390353,0.651,0.263,0.311,0.0641,179039
Benin,108,0.333,112622,12000,36.22,229,Porto-Novo,6476,110.71,-0.009,XOF,4.84,0.378,0.72,14390709095,1.22,0.123,60.5,Cotonou,61.5,397,0.39,French,0.405,0.08,11801151,0.709,0.108,0.489,0.0223,5648149
Bhutan,20,0.136,38394,6000,17.26,975,Thimphu,1261,167.18,0.027,,1.98,0.725,0.98,2446674101,1.001,0.156,24.8,Thimphu,71.5,183,0.32,Dzongkha,0.198,0.42,727145,0.667,0.16,0.353,0.0234,317538
Bolivia,11,0.348,1098581,71000,21.75,591,Sucre,21606,148.32,0.018,BOB,2.73,0.503,0.71,40895322865,0.982,,21.8,Santa Cruz de la Sierra,71.2,155,1.36,Spanish,0.259,1.59,11513100,0.718,0.17,0.837,0.035,8033035
Bosnia and Herzegovina,64,0.431,51197,11000,8.11,387,Sarajevo,21848,104.9,0.006,BAM,1.27,0.427,1.05,20047848435,,0.233,5,Tuzla Canton,77.3,10,1.04,Bosnian,0.286,2.16,3301000,0.464,0.204,0.237,0.1842,1605144
Botswana,4,0.456,581730,9000,24.82,267,Gaborone,6340,149.75,0.028,BWP,2.87,0.189,0.71,18340510789,1.032,0.249,30,Gaborone,69.3,144,0.29,English,0.053,0.37,2346179,0.708,0.195,0.251,0.1819,1616550
Brazil,25,0.339,8515770,730000,13.92,55,Bras���,462299,167.4,0.037,BRL,1.73,0.589,1.02,1.83976E+12,1.154,0.513,12.8,S����,75.7,60,1.53,Portuguese,0.283,2.15,212559417,0.639,0.142,0.651,0.1208,183241641
Brunei,83,0.027,5765,8000,14.9,673,Bandar Seri Begawan,7664,99.03,-0.004,BND,1.85,0.721,0.37,13469422941,1.032,0.314,9.8,,75.7,31,,Malay,0.06,1.61,433285,0.647,,0.08,0.0912,337711
Bulgaria,64,0.463,110879,31000,8.9,359,Sofia,41708,114.42,0.031,BGN,1.56,0.354,1.11,86000000000,0.893,0.71,5.9,Sofia,74.9,10,1.57,Bulgarian,0.477,4.03,6975761,0.554,0.202,0.283,0.0434,5256027
Burkina Faso,76,0.442,274200,11000,37.93,226,Ouagadougou,3418,106.58,-0.032,XOF,5.19,0.193,0.98,15745810235,0.961,0.065,49,Ouagadougou,61.2,320,0.34,French,0.361,0.08,20321378,0.664,0.15,0.413,0.0626,6092349
Burundi,463,0.792,27830,31000,39.01,257,Bujumbura,495,182.11,-0.007,BIF,5.41,0.109,1.21,3012334882,1.214,0.061,41,Bujumbura,61.2,548,,Kirundi,0.191,0.1,11530580,0.792,0.136,0.412,0.0143,1541177
Ivory Coast,83,0.648,322463,27000,35.74,225,Yamoussoukro,9674,111.61,-0.009,XOF,4.65,0.327,0.93,58792205642,0.998,0.093,59.4,Abidjan,57.4,617,0.36,French,0.36,0.23,25716544,0.57,0.118,0.501,0.0332,13176900
Cape Verde,138,0.196,4033,1000,19.49,238,Praia,543,110.5,0.011,CVE,2.27,0.225,1.02,1981845741,1.04,0.236,16.7,Praia,72.8,58,0.68,Portuguese,0.232,0.77,483628,0.605,0.201,0.375,0.1225,364029
Cambodia,95,0.309,181035,191000,22.46,855,Phnom Penh,9919,127.63,0.025,,2.5,0.529,0.9,27089389787,1.074,0.137,24,Phnom Penh,69.6,160,,Khmer language,0.594,0.17,16486542,0.823,0.171,0.231,0.0068,3924621
Cameroon,56,0.206,475440,24000,35.39,237,Yaound�,8291,118.65,0.025,XAF,4.57,0.393,1.03,38760467033,1.034,0.128,50.6,Douala,58.9,529,0.35,French,0.697,0.09,25876380,0.761,0.128,0.577,0.0338,14741256
Canada,4,0.069,9984670,72000,10.1,1,Ottawa,544894,116.76,0.019,CAD,1.5,0.382,0.81,1.73643E+12,1.009,0.689,4.3,Toronto,81.9,10,9.51,French,0.146,2.61,36991981,0.651,0.128,0.245,0.0556,30628482
Central African Republic,8,0.082,622984,8000,35.35,236,Bangui,297,186.86,0.371,,4.72,0.356,1.41,2220307369,1.02,0.03,84.5,Bangui,52.8,829,0.37,French,0.396,0.06,4745185,0.72,0.086,0.733,0.0368,1982064
Chad,13,0.397,1284000,35000,42.17,235,N'Djamena,1016,117.7,-0.01,XAF,5.75,0.038,0.78,11314951343,0.868,0.033,71.4,N'Djamena,54,1140,0.6,French,0.564,0.04,15946876,0.707,,0.635,0.0189,3712273
Chile,26,0.212,756096,122000,12.43,56,Santiago,85822,131.91,0.026,CLP,1.65,0.243,1.03,2.82318E+11,1.014,0.885,6.2,Santiago,80,13,2,Spanish,0.322,2.59,18952038,0.626,0.182,0.34,0.0709,16610135
